Time,Input1,Input2,Output,Signal
0,10,10,0,0
0.9495247586896849,7,10,0,0
1.9404716700923295,4,10,0,0
2.285131950459865,4,9,1,0
5.5455231859645515,2,9,1,0
6.335180386595525,1,9,1,0
6.974697452998747,0,9,1,0
8.096646002564636,0,9,0,1
16.675048997203483,2,9,0,1
17.54595498015636,1,9,0,1
19.06331899636316,0,9,0,1
21.58772066691439,2,9,0,1
23.227587357841983,1,9,0,1
23.963143158163067,1,8,1,1
26.640748283153467,1,8,0,2
30.373540550032477,0,8,0,2
33.20532773857969,1,8,0,2
36.58759906400877,1,8,0,2
41.74564712668845,2,8,0,2
42.782109509245785,1,8,0,2
47.89076287562902,2,8,0,2
50.05297210943268,2,7,1,2
51.8235601117524,1,7,1,2
52.698227590447246,1,7,0,3
54.93913742579511,1,6,1,3
57.30408293691084,1,5,1,4
58.838212429985866,1,5,0,5
61.12522052660672,0,3,1,6
63.2296714894637,0,3,0,7
92.73498914750236,1,3,0,7
97.61218655874772,0,3,0,7
112.73376690920558,1,3,0,7
115.88192391111032,2,3,0,7
117.63343190638099,1,3,0,7
118.28318917819648,0,3,0,7
123.66604466593907,1,3,0,7
125.1713381095651,0,3,0,7
131.73491203030312,1,3,0,7
133.25993764843827,0,3,0,7
135.31145433642683,1,2,1,7
141.74154437762667,0,1,2,7
142.58478329583224,0,1,1,8
144.36650718688023,0,1,0,9
171.21706705346034,1,1,0,9
176.33948408350759,0,1,0,9
189.18035641602347,1,1,0,9
196.7339004512299,0,1,0,9
228.3182355772875,1,1,0,9
229.75553091869122,0,1,0,9
263.7522780315347,1,1,0,9
269.48924130777436,0,1,0,9
286.37632142849463,0,1,0,9
288.9199399869685,1,1,0,9
291.096481742692,0,1,0,9
305.9355091137432,0,1,0,9
341.2598441864503,1,1,0,9
345.93600086863006,0,1,0,9
363.92584820608914,1,1,0,9
368.74752812545825,0,1,0,9
388.3588191959189,1,1,0,9
390.5439251382012,0,1,0,9
391.46418112385396,1,1,0,9
395.93318814809464,0,1,0,9
425.2593452121363,1,1,0,9
426.0625676428106,0,1,0,9
431.1967020143837,1,1,0,9
432.13716858491284,0,1,0,9
476.62196015811816,1,1,0,9
478.83979992481807,0,1,0,9
496.3912312732912,1,1,0,9
497.054130582644,0,1,0,9
506.5069294282382,1,1,0,9
507.6915161823109,0,1,0,9
508.6308280244021,0,1,0,9
519.6405781072535,1,1,0,9
521.272625931957,0,1,0,9
539.2149855508583,1,1,0,9
543.6419466139814,0,0,1,9
546.312679446485,0,0,0,10
599.9999994631269,0,0,0,10