Time,Reporter,Join,Input2,Input1,sp1,sp2,sp3,sp4,sp5,sp6
0,5,10,10,10,0,0,0,0,0,0
4.8121183163302526,5,9,10,9,1,1,0,0,0,0
5.533204134603275,5,8,10,8,2,2,0,0,0,0
9.157867998473753,5,7,10,7,3,3,0,0,0,0
13.202984110923495,5,7,9,7,2,3,1,0,0,0
16.09918382600488,5,6,9,6,3,4,1,0,0,0
17.04603834545316,5,6,8,6,2,4,2,0,0,0
19.37003337878854,4,6,8,6,2,4,1,1,0,0
43.17158278613433,4,6,7,6,1,4,2,1,0,0
45.06059121030176,4,5,7,5,2,5,2,1,0,0
50.206099420864874,4,6,7,6,1,4,2,1,0,0
53.728685229249834,4,5,7,5,2,5,2,1,0,0
58.65078209186148,4,4,7,4,3,6,2,1,0,0
80.58357463715758,4,5,6,5,1,5,3,1,0,0
85.56252770951082,4,4,6,4,2,6,3,1,0,0
91.93003742037865,4,3,6,3,3,7,3,1,0,0
97.235242043708,4,4,5,4,1,6,4,1,0,0
100.89791455084153,4,4,5,4,1,6,4,1,0,0
111.46982109022582,4,3,5,3,2,7,4,1,0,0
114.79396749552302,3,3,5,3,2,7,3,2,0,0
132.14261736785664,3,2,5,2,3,8,3,2,0,0
146.1405883686529,3,3,5,3,2,7,3,2,0,0
154.63594993429456,3,4,5,4,1,6,3,2,0,0
169.62227480667192,3,3,5,3,2,7,3,2,0,0
170.3491131488934,3,4,5,4,1,6,3,2,0,0
194.9670698116828,2,4,5,4,1,6,2,3,0,0
201.7161271864747,2,4,4,4,0,6,3,3,0,0
233.26957444943,1,4,4,4,0,6,2,4,0,0
251.0760034336954,1,3,4,4,0,7,2,3,1,0
269.82340581119826,1,2,4,4,0,8,2,2,2,0
276.452464597096,1,1,4,4,0,9,2,1,3,0
285.5622502320971,1,1,3,4,0,9,2,1,2,1
301.1453441966726,0,1,3,4,0,9,1,2,2,1
303.8971194530829,0,1,2,4,0,9,1,2,1,2
326.2773614697069,0,0,2,4,0,10,1,1,2,2
336.80795676815467,0,0,1,4,0,10,1,1,1,3
338.34899671611544,0,1,1,4,0,9,1,2,0,3
344.5639522241141,0,0,1,4,0,10,1,1,1,3
348.63850310878547,0,1,1,4,0,9,1,2,0,3
397.7423589087817,0,0,1,3,1,10,1,2,0,3
502.35212151455534,0,1,1,4,0,9,1,2,0,3
595.8317385634249,0,0,1,3,1,10,1,2,0,3
649.4446143514119,0,1,1,4,0,9,1,2,0,3