Time,sp_0,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10
0,1,0,0,0,0,0,0,0,0,0,0
0.04812118316330253,0,1,1,0,0,0,0,0,0,0,0
663.4470739943436,0,0,0,1,1,0,0,0,0,0,0
3853.169072711259,0,0,0,1,1,0,0,0,0,0,0
6112.20863787133,0,0,0,1,1,0,0,0,0,0,0
7739.08846661355,0,0,0,1,1,0,0,0,0,0,0
8891.399556420176,0,0,0,1,1,0,0,0,0,0,0
11040.192158014837,0,0,0,0,0,0,1,1,0,0,0
25669.054365875192,0,0,0,0,0,0,0,0,1,1,0
25724.33586864483,0,0,0,0,0,0,0,0,1,1,0
29319.61724756679,0,0,0,0,0,0,0,0,1,1,0
29398.593588253752,0,0,0,0,0,0,0,0,1,1,0
31127.23299253171,0,0,0,0,0,0,0,0,1,1,0
38966.137530731416,0,0,0,0,0,0,0,0,1,1,0
45560.12047459282,0,0,0,0,0,0,0,0,0,0,1