Time,catalyst0,catalyst1,sp1
0,5,5,0
3.948648892238788,4,5,0
6.587676084907864,4,5,0
9.781666375581509,3,5,0
12.763064029476956,2,5,0
14.371630136927287,2,5,0
33.17929636037182,2,5,0
34.60605166031255,2,5,0
38.20728784019192,1,5,0
40.83084082108178,1,5,0
44.92634952845302,1,5,0
66.67109182511265,1,5,0
70.57721280258423,1,5,0
76.31247782202341,1,5,0
82.14676880815523,2,5,0
85.18347259862655,2,5,0
93.8666369374929,2,5,0
96.64685803563982,2,4,0
111.19922933881479,2,4,0
126.40064581026779,2,4,0
134.9884454975433,2,4,0
151.3434887771251,2,4,0
177.41095451985097,2,4,0
183.6731166528306,2,4,0
204.94791583858844,2,4,0
218.01168449567737,2,3,0
232.94168951211472,2,3,0
239.3227813097365,2,3,0
248.8828605312586,2,2,0
261.16006217753886,2,2,0
263.04340645949264,2,2,0
267.88843720424103,2,2,0
271.2820562862504,2,2,0
272.48443292538644,2,3,0
275.67968057342324,1,3,0
287.04581440060133,1,3,0
295.39469356543043,1,2,0
304.73195818968406,1,3,0
310.1210331408458,1,3,0
316.3566233138822,2,3,0
317.61690474850496,2,3,0
321.4496341306002,2,3,0
324.3693296275979,2,3,0
329.15458728416786,2,2,0
332.7040296255065,2,2,0
334.57428929753394,2,2,1
361.7485970204763,2,2,1
365.56295358294625,2,2,1
370.11065357832854,2,2,1
376.17421667691985,1,2,1
384.1569764052159,1,2,1
386.77287113311905,1,2,1
403.3400561705687,1,2,1
407.9102704087512,1,2,1
411.06268969213846,1,2,1
419.4275320327576,1,2,1
432.423888969223,1,2,1
436.4668692611805,1,2,1
438.1434774706648,1,2,1
443.2416833849721,1,2,1
447.80266119819515,1,2,1
456.7585851179811,1,2,1
465.5584112311339,1,3,1
469.3320252798,1,3,1
476.86115997057254,1,3,1
480.20330315031435,1,3,1
482.39344745264833,1,3,1
489.2173129799022,1,3,1
495.0740255380805,1,3,1
496.50732002513257,1,3,1
497.50865828909184,1,3,1
499.1445128526755,1,3,1
509.4796164989426,1,3,1
511.9571934541316,1,3,1
514.365345121028,2,3,1
515.5901855557092,2,3,1
517.424388592024,2,3,1
519.9822719539932,2,3,1
521.8054532951179,2,3,1
525.973982353297,2,3,1
534.964477355634,2,3,1
540.2315435379342,3,3,1
545.3525584851152,3,3,1
574.5655642763477,3,4,1
578.9380786587424,3,4,1
585.8067526505715,3,4,1
596.4065250449407,3,4,1
601.2156523488202,3,3,1
609.9327612415881,3,4,1
615.6463399599502,3,4,1
625.7538328985752,3,4,1
629.9222013084909,3,3,1
638.4390122380536,3,3,1
647.4479233889019,2,3,1
651.9635624432576,2,3,1
658.1981202504245,2,3,1
662.3736251927745,2,3,1
692.2809172556612,2,4,1
695.616300373428,2,4,1
701.1177201936603,2,3,1
714.6819110187548,2,3,1
726.852628789956,2,3,1
735.095653092805,2,3,1
741.6709086926132,2,3,1
746.0923058628404,2,3,1
746.833145932435,2,4,1
763.6967722818958,2,4,1
770.6912990275852,2,4,1
772.2721324543505,2,4,1
775.5250578809422,2,3,1
777.6964393260583,2,2,1
781.5320906068066,2,2,1
784.6530596139079,2,2,1
795.2449026504386,2,3,1
801.3091175093671,2,3,1
804.5968470323589,2,3,1
813.3791335268369,2,3,1
824.3364143608444,2,3,1
828.1355812875448,2,3,1
839.1690521454198,2,2,1
844.9932789356793,2,2,1
848.613011098343,2,3,1
861.9160855652373,2,4,1
872.3693987658265,2,4,1
883.7712208139513,2,4,1
892.020411321463,2,4,2
896.3766711431872,3,4,2
900.086338571311,3,4,2
908.3014925558797,3,4,2
910.3690023449414,3,4,2
914.3037171634859,3,4,2
926.0243807018186,2,4,2
948.8516161792752,2,5,2
954.6733995737771,3,5,2
960.8911348981821,3,4,2
965.7185557925432,3,4,2
967.6561634803558,3,4,2
972.0319446498622,3,4,2
973.6656037962132,2,4,2
991.7348201874762,2,4,2
993.714495245761,2,3,2
999.9999999371449,2,3,2